meal_name,items,carbs,protein,calories,fats
Meal 915,"Aloo Ghost Kari (Goat),Pulao,Brown bread(2),Milk (Cow),",151.4,38.55,994,23.05
Meal 916,"Aloo Ghost Kari (Goat),Pulao,Paratha(2),Milk (Cow),",163.4,32.55,1038,26.45
Meal 917,"Aloo Ghost Kari (Goat),Pulao,Wheat chapatti(3),Milk (Cow),",84.4,21.55,996,15.65
Meal 918,"Aloo Ghost Kari (Goat),Pulao,Brown bread(3),Milk (Cow),",207.4,51.55,1098,27.35
Meal 919,"Aloo Ghost Kari (Goat),Pulao,Paratha(3),Milk (Cow),",225.4,42.55,1164,32.45
Meal 920,"Aloo Ghost Kari (Goat),Pulao,Milk (Cow),",39.4,12.55,786,14.45
Meal 921,"Aloo Ghost Kari (Goat),Pulao,Wheat chapatti(1),Milk (Buffalo),",55,16.65,906,17.25
Meal 922,"Aloo Ghost Kari (Goat),Pulao,Brown bread(1),Milk (Buffalo),",96,26.65,940,21.15
Meal 923,"Aloo Ghost Kari (Goat),Pulao,Paratha(1),Milk (Buffalo),",102,23.65,962,22.85
Meal 924,"Aloo Ghost Kari (Goat),Pulao,Wheat chapatti(2),Milk (Buffalo),",70,19.65,976,17.65
Meal 925,"Aloo Ghost Kari (Goat),Pulao,Brown bread(2),Milk (Buffalo),",152,39.65,1044,25.45
Meal 926,"Aloo Ghost Kari (Goat),Pulao,Paratha(2),Milk (Buffalo),",164,33.65,1088,28.85
Meal 927,"Aloo Ghost Kari (Goat),Pulao,Wheat chapatti(3),Milk (Buffalo),",85,22.65,1046,18.05
Meal 928,"Aloo Ghost Kari (Goat),Pulao,Brown bread(3),Milk (Buffalo),",208,52.65,1148,29.75
Meal 929,"Aloo Ghost Kari (Goat),Pulao,Paratha(3),Milk (Buffalo),",226,43.65,1214,34.85
Meal 930,"Aloo Ghost Kari (Goat),Pulao,Milk (Buffalo),",40,13.65,836,16.85
Meal 931,"Aloo Ghost Kari (Goat),Pulao,Wheat chapatti(1),Yogurt,",53,15.45,849,14.75
Meal 932,"Aloo Ghost Kari (Goat),Pulao,Brown bread(1),Yogurt,",94,25.45,883,18.65
Meal 933,"Aloo Ghost Kari (Goat),Pulao,Paratha(1),Yogurt,",100,22.45,905,20.35
Meal 934,"Aloo Ghost Kari (Goat),Pulao,Wheat chapatti(2),Yogurt,",68,18.45,919,15.15
Meal 935,"Aloo Ghost Kari (Goat),Pulao,Brown bread(2),Yogurt,",150,38.45,987,22.95
Meal 936,"Aloo Ghost Kari (Goat),Pulao,Paratha(2),Yogurt,",162,32.45,1031,26.35
Meal 937,"Aloo Ghost Kari (Goat),Pulao,Wheat chapatti(3),Yogurt,",83,21.45,989,15.55
Meal 938,"Aloo Ghost Kari (Goat),Pulao,Brown bread(3),Yogurt,",206,51.45,1091,27.25
Meal 939,"Aloo Ghost Kari (Goat),Pulao,Paratha(3),Yogurt,",224,42.45,1157,32.35
Meal 940,"Aloo Ghost Kari (Goat),Pulao,Yogurt,",38,12.45,779,14.35
Meal 941,"Aloo Ghost Kari (Goat),Pulao,Wheat chapatti(1),Buttermilk,",50.5,13.15,804,11.85
Meal 942,"Aloo Ghost Kari (Goat),Pulao,Brown bread(1),Buttermilk,",91.5,23.15,838,15.75
Meal 943,"Aloo Ghost Kari (Goat),Pulao,Paratha(1),Buttermilk,",97.5,20.15,860,17.45
Meal 944,"Aloo Ghost Kari (Goat),Pulao,Wheat chapatti(2),Buttermilk,",65.5,16.15,874,12.25
Meal 945,"Aloo Ghost Kari (Goat),Pulao,Brown bread(2),Buttermilk,",147.5,36.15,942,20.05
Meal 946,"Aloo Ghost Kari (Goat),Pulao,Paratha(2),Buttermilk,",159.5,30.15,986,23.45
Meal 947,"Aloo Ghost Kari (Goat),Pulao,Wheat chapatti(3),Buttermilk,",80.5,19.15,944,12.65
Meal 948,"Aloo Ghost Kari (Goat),Pulao,Brown bread(3),Buttermilk,",203.5,49.15,1046,24.35
Meal 949,"Aloo Ghost Kari (Goat),Pulao,Paratha(3),Buttermilk,",221.5,40.15,1112,29.45
Meal 950,"Aloo Ghost Kari (Goat),Pulao,Buttermilk,",35.5,10.15,734,11.45
Meal 951,"Aloo Ghost Kari (Goat),Pulao,Wheat chapatti(1),Paneer (Cow’s milk),",51.2,30.65,1054,31.55
Meal 952,"Aloo Ghost Kari (Goat),Pulao,Brown bread(1),Paneer (Cow’s milk),",92.2,40.65,1088,35.45
Meal 953,"Aloo Ghost Kari (Goat),Pulao,Paratha(1),Paneer (Cow’s milk),",98.2,37.65,1110,37.15
Meal 954,"Aloo Ghost Kari (Goat),Pulao,Wheat chapatti(2),Paneer (Cow’s milk),",66.2,33.65,1124,31.95
Meal 955,"Aloo Ghost Kari (Goat),Pulao,Brown bread(2),Paneer (Cow’s milk),",148.2,53.65,1192,39.75
Meal 956,"Aloo Ghost Kari (Goat),Pulao,Paratha(2),Paneer (Cow’s milk),",160.2,47.65,1236,43.15
Meal 957,"Aloo Ghost Kari (Goat),Pulao,Wheat chapatti(3),Paneer (Cow’s milk),",81.2,36.65,1194,32.35
Meal 958,"Aloo Ghost Kari (Goat),Pulao,Brown bread(3),Paneer (Cow’s milk),",204.2,66.65,1296,44.05
Meal 959,"Aloo Ghost Kari (Goat),Pulao,Paratha(3),Paneer (Cow’s milk),",222.2,57.65,1362,49.15
Meal 960,"Aloo Ghost Kari (Goat),Pulao,Paneer (Cow’s milk),",36.2,27.65,984,31.15
Meal 961,"Aloo Ghost Kari (Goat),Pulao,Wheat chapatti(1),Paneer (Buffalo’s milk),",57.9,25.75,1081,33.75
Meal 962,"Aloo Ghost Kari (Goat),Pulao,Brown bread(1),Paneer (Buffalo’s milk),",98.9,35.75,1115,37.65
Meal 963,"Aloo Ghost Kari (Goat),Pulao,Paratha(1),Paneer (Buffalo’s milk),",104.9,32.75,1137,39.35
Meal 964,"Aloo Ghost Kari (Goat),Pulao,Wheat chapatti(2),Paneer (Buffalo’s milk),",72.9,28.75,1151,34.15
Meal 965,"Aloo Ghost Kari (Goat),Pulao,Brown bread(2),Paneer (Buffalo’s milk),",154.9,48.75,1219,41.95
Meal 966,"Aloo Ghost Kari (Goat),Pulao,Paratha(2),Paneer (Buffalo’s milk),",166.9,42.75,1263,45.35
Meal 967,"Aloo Ghost Kari (Goat),Pulao,Wheat chapatti(3),Paneer (Buffalo’s milk),",87.9,31.75,1221,34.55
Meal 968,"Aloo Ghost Kari (Goat),Pulao,Brown bread(3),Paneer (Buffalo’s milk),",210.9,61.75,1323,46.25
Meal 969,"Aloo Ghost Kari (Goat),Pulao,Paratha(3),Paneer (Buffalo’s milk),",228.9,52.75,1389,51.35
Meal 970,"Aloo Ghost Kari (Goat),Pulao,Paneer (Buffalo’s milk),",42.9,22.75,1011,33.35
Meal 971,"Aloo Ghost Kari (Goat),Pulao,Wheat chapatti(1),Lassi,",53.2,18.05,858,11.25
Meal 972,"Aloo Ghost Kari (Goat),Pulao,Brown bread(1),Lassi,",94.2,28.05,892,15.15
Meal 973,"Aloo Ghost Kari (Goat),Pulao,Paratha(1),Lassi,",100.2,25.05,914,16.85
Meal 974,"Aloo Ghost Kari (Goat),Pulao,Wheat chapatti(2),Lassi,",68.2,21.05,928,11.65
Meal 975,"Aloo Ghost Kari (Goat),Pulao,Brown bread(2),Lassi,",150.2,41.05,996,19.45
Meal 976,"Aloo Ghost Kari (Goat),Pulao,Paratha(2),Lassi,",162.2,35.05,1040,22.85
Meal 977,"Aloo Ghost Kari (Goat),Pulao,Wheat chapatti(3),Lassi,",83.2,24.05,998,12.05
Meal 978,"Aloo Ghost Kari (Goat),Pulao,Brown bread(3),Lassi,",206.2,54.05,1100,23.75
Meal 979,"Aloo Ghost Kari (Goat),Pulao,Paratha(3),Lassi,",224.2,45.05,1166,28.85
Meal 980,"Aloo Ghost Kari (Goat),Pulao,Lassi,",38.2,15.05,788,10.85
Meal 981,"Aloo Ghost Kari (Goat),Khichadi,Wheat chapatti(1),Milk (Cow),",68.4,16.65,952,18.85
Meal 982,"Aloo Ghost Kari (Goat),Khichadi,Brown bread(1),Milk (Cow),",109.4,26.65,986,22.75
Meal 983,"Aloo Ghost Kari (Goat),Khichadi,Paratha(1),Milk (Cow),",115.4,23.65,1008,24.45
Meal 984,"Aloo Ghost Kari (Goat),Khichadi,Wheat chapatti(2),Milk (Cow),",83.4,19.65,1022,19.25
Meal 985,"Aloo Ghost Kari (Goat),Khichadi,Brown bread(2),Milk (Cow),",165.4,39.65,1090,27.05
Meal 986,"Aloo Ghost Kari (Goat),Khichadi,Paratha(2),Milk (Cow),",177.4,33.65,1134,30.45
Meal 987,"Aloo Ghost Kari (Goat),Khichadi,Wheat chapatti(3),Milk (Cow),",98.4,22.65,1092,19.65
Meal 988,"Aloo Ghost Kari (Goat),Khichadi,Brown bread(3),Milk (Cow),",221.4,52.65,1194,31.35
Meal 989,"Aloo Ghost Kari (Goat),Khichadi,Paratha(3),Milk (Cow),",239.4,43.65,1260,36.45
Meal 990,"Aloo Ghost Kari (Goat),Khichadi,Milk (Cow),",53.4,13.65,882,18.45
Meal 991,"Aloo Ghost Kari (Goat),Khichadi,Wheat chapatti(1),Milk (Buffalo),",69,17.75,1002,21.25
Meal 992,"Aloo Ghost Kari (Goat),Khichadi,Brown bread(1),Milk (Buffalo),",110,27.75,1036,25.15
Meal 993,"Aloo Ghost Kari (Goat),Khichadi,Paratha(1),Milk (Buffalo),",116,24.75,1058,26.85
Meal 994,"Aloo Ghost Kari (Goat),Khichadi,Wheat chapatti(2),Milk (Buffalo),",84,20.75,1072,21.65
Meal 995,"Aloo Ghost Kari (Goat),Khichadi,Brown bread(2),Milk (Buffalo),",166,40.75,1140,29.45
Meal 996,"Aloo Ghost Kari (Goat),Khichadi,Paratha(2),Milk (Buffalo),",178,34.75,1184,32.85
Meal 997,"Aloo Ghost Kari (Goat),Khichadi,Wheat chapatti(3),Milk (Buffalo),",99,23.75,1142,22.05
Meal 998,"Aloo Ghost Kari (Goat),Khichadi,Brown bread(3),Milk (Buffalo),",222,53.75,1244,33.75
Meal 999,"Aloo Ghost Kari (Goat),Khichadi,Paratha(3),Milk (Buffalo),",240,44.75,1310,38.85
Meal 1000,"Aloo Ghost Kari (Goat),Khichadi,Milk (Buffalo),",54,14.75,932,20.85
Meal 1001,"Aloo Ghost Kari (Goat),Khichadi,Wheat chapatti(1),Yogurt,",67,16.55,945,18.75
Meal 1002,"Aloo Ghost Kari (Goat),Khichadi,Brown bread(1),Yogurt,",108,26.55,979,22.65
Meal 1003,"Aloo Ghost Kari (Goat),Khichadi,Paratha(1),Yogurt,",114,23.55,1001,24.35
Meal 1004,"Aloo Ghost Kari (Goat),Khichadi,Wheat chapatti(2),Yogurt,",82,19.55,1015,19.15
Meal 1005,"Aloo Ghost Kari (Goat),Khichadi,Brown bread(2),Yogurt,",164,39.55,1083,26.95
Meal 1006,"Aloo Ghost Kari (Goat),Khichadi,Paratha(2),Yogurt,",176,33.55,1127,30.35
Meal 1007,"Aloo Ghost Kari (Goat),Khichadi,Wheat chapatti(3),Yogurt,",97,22.55,1085,19.55
Meal 1008,"Aloo Ghost Kari (Goat),Khichadi,Brown bread(3),Yogurt,",220,52.55,1187,31.25
Meal 1009,"Aloo Ghost Kari (Goat),Khichadi,Paratha(3),Yogurt,",238,43.55,1253,36.35
Meal 1010,"Aloo Ghost Kari (Goat),Khichadi,Yogurt,",52,13.55,875,18.35
Meal 1011,"Aloo Ghost Kari (Goat),Khichadi,Wheat chapatti(1),Buttermilk,",64.5,14.25,900,15.85
Meal 1012,"Aloo Ghost Kari (Goat),Khichadi,Brown bread(1),Buttermilk,",105.5,24.25,934,19.75
Meal 1013,"Aloo Ghost Kari (Goat),Khichadi,Paratha(1),Buttermilk,",111.5,21.25,956,21.45
Meal 1014,"Aloo Ghost Kari (Goat),Khichadi,Wheat chapatti(2),Buttermilk,",79.5,17.25,970,16.25
Meal 1015,"Aloo Ghost Kari (Goat),Khichadi,Brown bread(2),Buttermilk,",161.5,37.25,1038,24.05
Meal 1016,"Aloo Ghost Kari (Goat),Khichadi,Paratha(2),Buttermilk,",173.5,31.25,1082,27.45
Meal 1017,"Aloo Ghost Kari (Goat),Khichadi,Wheat chapatti(3),Buttermilk,",94.5,20.25,1040,16.65
Meal 1018,"Aloo Ghost Kari (Goat),Khichadi,Brown bread(3),Buttermilk,",217.5,50.25,1142,28.35
Meal 1019,"Aloo Ghost Kari (Goat),Khichadi,Paratha(3),Buttermilk,",235.5,41.25,1208,33.45
Meal 1020,"Aloo Ghost Kari (Goat),Khichadi,Buttermilk,",49.5,11.25,830,15.45
Meal 1021,"Aloo Ghost Kari (Goat),Khichadi,Wheat chapatti(1),Paneer (Cow’s milk),",65.2,31.75,1150,35.55
Meal 1022,"Aloo Ghost Kari (Goat),Khichadi,Brown bread(1),Paneer (Cow’s milk),",106.2,41.75,1184,39.45
Meal 1023,"Aloo Ghost Kari (Goat),Khichadi,Paratha(1),Paneer (Cow’s milk),",112.2,38.75,1206,41.15
Meal 1024,"Aloo Ghost Kari (Goat),Khichadi,Wheat chapatti(2),Paneer (Cow’s milk),",80.2,34.75,1220,35.95
Meal 1025,"Aloo Ghost Kari (Goat),Khichadi,Brown bread(2),Paneer (Cow’s milk),",162.2,54.75,1288,43.75
Meal 1026,"Aloo Ghost Kari (Goat),Khichadi,Paratha(2),Paneer (Cow’s milk),",174.2,48.75,1332,47.15
Meal 1027,"Aloo Ghost Kari (Goat),Khichadi,Wheat chapatti(3),Paneer (Cow’s milk),",95.2,37.75,1290,36.35
Meal 1028,"Aloo Ghost Kari (Goat),Khichadi,Brown bread(3),Paneer (Cow’s milk),",218.2,67.75,1392,48.05
Meal 1029,"Aloo Ghost Kari (Goat),Khichadi,Paratha(3),Paneer (Cow’s milk),",236.2,58.75,1458,53.15
Meal 1030,"Aloo Ghost Kari (Goat),Khichadi,Paneer (Cow’s milk),",50.2,28.75,1080,35.15
Meal 1031,"Aloo Ghost Kari (Goat),Khichadi,Wheat chapatti(1),Paneer (Buffalo’s milk),",71.9,26.85,1177,37.75
Meal 1032,"Aloo Ghost Kari (Goat),Khichadi,Brown bread(1),Paneer (Buffalo’s milk),",112.9,36.85,1211,41.65
Meal 1033,"Aloo Ghost Kari (Goat),Khichadi,Paratha(1),Paneer (Buffalo’s milk),",118.9,33.85,1233,43.35
Meal 1034,"Aloo Ghost Kari (Goat),Khichadi,Wheat chapatti(2),Paneer (Buffalo’s milk),",86.9,29.85,1247,38.15
Meal 1035,"Aloo Ghost Kari (Goat),Khichadi,Brown bread(2),Paneer (Buffalo’s milk),",168.9,49.85,1315,45.95
Meal 1036,"Aloo Ghost Kari (Goat),Khichadi,Paratha(2),Paneer (Buffalo’s milk),",180.9,43.85,1359,49.35
Meal 1037,"Aloo Ghost Kari (Goat),Khichadi,Wheat chapatti(3),Paneer (Buffalo’s milk),",101.9,32.85,1317,38.55
Meal 1038,"Aloo Ghost Kari (Goat),Khichadi,Brown bread(3),Paneer (Buffalo’s milk),",224.9,62.85,1419,50.25
Meal 1039,"Aloo Ghost Kari (Goat),Khichadi,Paratha(3),Paneer (Buffalo’s milk),",242.9,53.85,1485,55.35
Meal 1040,"Aloo Ghost Kari (Goat),Khichadi,Paneer (Buffalo’s milk),",56.9,23.85,1107,37.35
Meal 1041,"Aloo Ghost Kari (Goat),Khichadi,Wheat chapatti(1),Lassi,",67.2,19.15,954,15.25
Meal 1042,"Aloo Ghost Kari (Goat),Khichadi,Brown bread(1),Lassi,",108.2,29.15,988,19.15
Meal 1043,"Aloo Ghost Kari (Goat),Khichadi,Paratha(1),Lassi,",114.2,26.15,1010,20.85
Meal 1044,"Aloo Ghost Kari (Goat),Khichadi,Wheat chapatti(2),Lassi,",82.2,22.15,1024,15.65
Meal 1045,"Aloo Ghost Kari (Goat),Khichadi,Brown bread(2),Lassi,",164.2,42.15,1092,23.45
Meal 1046,"Aloo Ghost Kari (Goat),Khichadi,Paratha(2),Lassi,",176.2,36.15,1136,26.85
Meal 1047,"Aloo Ghost Kari (Goat),Khichadi,Wheat chapatti(3),Lassi,",97.2,25.15,1094,16.05
Meal 1048,"Aloo Ghost Kari (Goat),Khichadi,Brown bread(3),Lassi,",220.2,55.15,1196,27.75
Meal 1049,"Aloo Ghost Kari (Goat),Khichadi,Paratha(3),Lassi,",238.2,46.15,1262,32.85
Meal 1050,"Aloo Ghost Kari (Goat),Khichadi,Lassi,",52.2,16.15,884,14.85
Meal 1051,"Aloo Ghost Kari (Goat),Wheat chapatti(1),Milk (Cow),",35.4,12.35,737,11.45
Meal 1052,"Aloo Ghost Kari (Goat),Brown bread(1),Milk (Cow),",76.4,22.35,771,15.35
Meal 1053,"Aloo Ghost Kari (Goat),Paratha(1),Milk (Cow),",82.4,19.35,793,17.05
Meal 1054,"Aloo Ghost Kari (Goat),Wheat chapatti(2),Milk (Cow),",50.4,15.35,807,11.85
Meal 1055,"Aloo Ghost Kari (Goat),Brown bread(2),Milk (Cow),",132.4,35.35,875,19.65
Meal 1056,"Aloo Ghost Kari (Goat),Paratha(2),Milk (Cow),",144.4,29.35,919,23.05
Meal 1057,"Aloo Ghost Kari (Goat),Wheat chapatti(3),Milk (Cow),",65.4,18.35,877,12.25
Meal 1058,"Aloo Ghost Kari (Goat),Brown bread(3),Milk (Cow),",188.4,48.35,979,23.95
Meal 1059,"Aloo Ghost Kari (Goat),Paratha(3),Milk (Cow),",206.4,39.35,1045,29.05
Meal 1060,"Aloo Ghost Kari (Goat),Milk (Cow),",20.4,9.35,667,11.05
Meal 1061,"Aloo Ghost Kari (Goat),Wheat chapatti(1),Milk (Buffalo),",36,13.45,787,13.85
Meal 1062,"Aloo Ghost Kari (Goat),Brown bread(1),Milk (Buffalo),",77,23.45,821,17.75
Meal 1063,"Aloo Ghost Kari (Goat),Paratha(1),Milk (Buffalo),",83,20.45,843,19.45
Meal 1064,"Aloo Ghost Kari (Goat),Wheat chapatti(2),Milk (Buffalo),",51,16.45,857,14.25
Meal 1065,"Aloo Ghost Kari (Goat),Brown bread(2),Milk (Buffalo),",133,36.45,925,22.05
Meal 1066,"Aloo Ghost Kari (Goat),Paratha(2),Milk (Buffalo),",145,30.45,969,25.45
Meal 1067,"Aloo Ghost Kari (Goat),Wheat chapatti(3),Milk (Buffalo),",66,19.45,927,14.65
Meal 1068,"Aloo Ghost Kari (Goat),Brown bread(3),Milk (Buffalo),",189,49.45,1029,26.35
Meal 1069,"Aloo Ghost Kari (Goat),Paratha(3),Milk (Buffalo),",207,40.45,1095,31.45
Meal 1070,"Aloo Ghost Kari (Goat),Milk (Buffalo),",21,10.45,717,13.45
Meal 1071,"Aloo Ghost Kari (Goat),Wheat chapatti(1),Yogurt,",34,12.25,730,11.35
Meal 1072,"Aloo Ghost Kari (Goat),Brown bread(1),Yogurt,",75,22.25,764,15.25
Meal 1073,"Aloo Ghost Kari (Goat),Paratha(1),Yogurt,",81,19.25,786,16.95
Meal 1074,"Aloo Ghost Kari (Goat),Wheat chapatti(2),Yogurt,",49,15.25,800,11.75
Meal 1075,"Aloo Ghost Kari (Goat),Brown bread(2),Yogurt,",131,35.25,868,19.55
Meal 1076,"Aloo Ghost Kari (Goat),Paratha(2),Yogurt,",143,29.25,912,22.95
Meal 1077,"Aloo Ghost Kari (Goat),Wheat chapatti(3),Yogurt,",64,18.25,870,12.15
Meal 1078,"Aloo Ghost Kari (Goat),Brown bread(3),Yogurt,",187,48.25,972,23.85
Meal 1079,"Aloo Ghost Kari (Goat),Paratha(3),Yogurt,",205,39.25,1038,28.95
Meal 1080,"Aloo Ghost Kari (Goat),Yogurt,",19,9.25,660,10.95
Meal 1081,"Aloo Ghost Kari (Goat),Wheat chapatti(1),Buttermilk,",31.5,9.95,685,8.45
Meal 1082,"Aloo Ghost Kari (Goat),Brown bread(1),Buttermilk,",72.5,19.95,719,12.35
Meal 1083,"Aloo Ghost Kari (Goat),Paratha(1),Buttermilk,",78.5,16.95,741,14.05
Meal 1084,"Aloo Ghost Kari (Goat),Wheat chapatti(2),Buttermilk,",46.5,12.95,755,8.85
Meal 1085,"Aloo Ghost Kari (Goat),Brown bread(2),Buttermilk,",128.5,32.95,823,16.65
Meal 1086,"Aloo Ghost Kari (Goat),Paratha(2),Buttermilk,",140.5,26.95,867,20.05
Meal 1087,"Aloo Ghost Kari (Goat),Wheat chapatti(3),Buttermilk,",61.5,15.95,825,9.25
Meal 1088,"Aloo Ghost Kari (Goat),Brown bread(3),Buttermilk,",184.5,45.95,927,20.95
Meal 1089,"Aloo Ghost Kari (Goat),Paratha(3),Buttermilk,",202.5,36.95,993,26.05
Meal 1090,"Aloo Ghost Kari (Goat),Buttermilk,",16.5,6.95,615,8.05
Meal 1091,"Aloo Ghost Kari (Goat),Wheat chapatti(1),Paneer (Cow’s milk),",32.2,27.45,935,28.15
Meal 1092,"Aloo Ghost Kari (Goat),Brown bread(1),Paneer (Cow’s milk),",73.2,37.45,969,32.05
Meal 1093,"Aloo Ghost Kari (Goat),Paratha(1),Paneer (Cow’s milk),",79.2,34.45,991,33.75
Meal 1094,"Aloo Ghost Kari (Goat),Wheat chapatti(2),Paneer (Cow’s milk),",47.2,30.45,1005,28.55
Meal 1095,"Aloo Ghost Kari (Goat),Brown bread(2),Paneer (Cow’s milk),",129.2,50.45,1073,36.35
Meal 1096,"Aloo Ghost Kari (Goat),Paratha(2),Paneer (Cow’s milk),",141.2,44.45,1117,39.75
Meal 1097,"Aloo Ghost Kari (Goat),Wheat chapatti(3),Paneer (Cow’s milk),",62.2,33.45,1075,28.95
Meal 1098,"Aloo Ghost Kari (Goat),Brown bread(3),Paneer (Cow’s milk),",185.2,63.45,1177,40.65
Meal 1099,"Aloo Ghost Kari (Goat),Paratha(3),Paneer (Cow’s milk),",203.2,54.45,1243,45.75
Meal 1100,"Aloo Ghost Kari (Goat),Paneer (Cow’s milk),",17.2,24.45,865,27.75
Meal 1101,"Aloo Ghost Kari (Goat),Wheat chapatti(1),Paneer (Buffalo’s milk),",38.9,22.55,962,30.35
Meal 1102,"Aloo Ghost Kari (Goat),Brown bread(1),Paneer (Buffalo’s milk),",79.9,32.55,996,34.25
Meal 1103,"Aloo Ghost Kari (Goat),Paratha(1),Paneer (Buffalo’s milk),",85.9,29.55,1018,35.95
Meal 1104,"Aloo Ghost Kari (Goat),Wheat chapatti(2),Paneer (Buffalo’s milk),",53.9,25.55,1032,30.75
Meal 1105,"Aloo Ghost Kari (Goat),Brown bread(2),Paneer (Buffalo’s milk),",135.9,45.55,1100,38.55
Meal 1106,"Aloo Ghost Kari (Goat),Paratha(2),Paneer (Buffalo’s milk),",147.9,39.55,1144,41.95
Meal 1107,"Aloo Ghost Kari (Goat),Wheat chapatti(3),Paneer (Buffalo’s milk),",68.9,28.55,1102,31.15
Meal 1108,"Aloo Ghost Kari (Goat),Brown bread(3),Paneer (Buffalo’s milk),",191.9,58.55,1204,42.85
Meal 1109,"Aloo Ghost Kari (Goat),Paratha(3),Paneer (Buffalo’s milk),",209.9,49.55,1270,47.95
Meal 1110,"Aloo Ghost Kari (Goat),Paneer (Buffalo’s milk),",23.9,19.55,892,29.95
Meal 1111,"Aloo Ghost Kari (Goat),Wheat chapatti(1),Lassi,",34.2,14.85,739,7.85
Meal 1112,"Aloo Ghost Kari (Goat),Brown bread(1),Lassi,",75.2,24.85,773,11.75
Meal 1113,"Aloo Ghost Kari (Goat),Paratha(1),Lassi,",81.2,21.85,795,13.45
Meal 1114,"Aloo Ghost Kari (Goat),Wheat chapatti(2),Lassi,",49.2,17.85,809,8.25
Meal 1115,"Aloo Ghost Kari (Goat),Brown bread(2),Lassi,",131.2,37.85,877,16.05
Meal 1116,"Aloo Ghost Kari (Goat),Paratha(2),Lassi,",143.2,31.85,921,19.45
Meal 1117,"Aloo Ghost Kari (Goat),Wheat chapatti(3),Lassi,",64.2,20.85,879,8.65
Meal 1118,"Aloo Ghost Kari (Goat),Brown bread(3),Lassi,",187.2,50.85,981,20.35
Meal 1119,"Aloo Ghost Kari (Goat),Paratha(3),Lassi,",205.2,41.85,1047,25.45
Meal 1120,"Aloo Ghost Kari (Goat),Lassi,",19.2,11.85,669,7.45
Meal 1121,"Rogan Josh,Boiled Rice,Wheat chapatti(1),Milk (Cow),",60.4,14.55,748,34.7
Meal 1122,"Rogan Josh,Boiled Rice,Brown bread(1),Milk (Cow),",101.4,24.55,782,38.6
Meal 1123,"Rogan Josh,Boiled Rice,Paratha(1),Milk (Cow),",107.4,21.55,804,40.3
Meal 1124,"Rogan Josh,Boiled Rice,Wheat chapatti(2),Milk (Cow),",75.4,17.55,818,35.1
Meal 1125,"Rogan Josh,Boiled Rice,Brown bread(2),Milk (Cow),",157.4,37.55,886,42.9
Meal 1126,"Rogan Josh,Boiled Rice,Paratha(2),Milk (Cow),",169.4,31.55,930,46.3
Meal 1127,"Rogan Josh,Boiled Rice,Wheat chapatti(3),Milk (Cow),",90.4,20.55,888,35.5
Meal 1128,"Rogan Josh,Boiled Rice,Brown bread(3),Milk (Cow),",213.4,50.55,990,47.2
Meal 1129,"Rogan Josh,Boiled Rice,Paratha(3),Milk (Cow),",231.4,41.55,1056,52.3
Meal 1130,"Rogan Josh,Boiled Rice,Milk (Cow),",45.4,11.55,678,34.3
Meal 1131,"Rogan Josh,Boiled Rice,Wheat chapatti(1),Milk (Buffalo),",61,15.65,798,37.1
Meal 1132,"Rogan Josh,Boiled Rice,Brown bread(1),Milk (Buffalo),",102,25.65,832,41
Meal 1133,"Rogan Josh,Boiled Rice,Paratha(1),Milk (Buffalo),",108,22.65,854,42.7
Meal 1134,"Rogan Josh,Boiled Rice,Wheat chapatti(2),Milk (Buffalo),",76,18.65,868,37.5
Meal 1135,"Rogan Josh,Boiled Rice,Brown bread(2),Milk (Buffalo),",158,38.65,936,45.3
Meal 1136,"Rogan Josh,Boiled Rice,Paratha(2),Milk (Buffalo),",170,32.65,980,48.7
Meal 1137,"Rogan Josh,Boiled Rice,Wheat chapatti(3),Milk (Buffalo),",91,21.65,938,37.9
Meal 1138,"Rogan Josh,Boiled Rice,Brown bread(3),Milk (Buffalo),",214,51.65,1040,49.6
Meal 1139,"Rogan Josh,Boiled Rice,Paratha(3),Milk (Buffalo),",232,42.65,1106,54.7
Meal 1140,"Rogan Josh,Boiled Rice,Milk (Buffalo),",46,12.65,728,36.7
Meal 1141,"Rogan Josh,Boiled Rice,Wheat chapatti(1),Yogurt,",59,14.45,741,34.6
Meal 1142,"Rogan Josh,Boiled Rice,Brown bread(1),Yogurt,",100,24.45,775,38.5
Meal 1143,"Rogan Josh,Boiled Rice,Paratha(1),Yogurt,",106,21.45,797,40.2
Meal 1144,"Rogan Josh,Boiled Rice,Wheat chapatti(2),Yogurt,",74,17.45,811,35
Meal 1145,"Rogan Josh,Boiled Rice,Brown bread(2),Yogurt,",156,37.45,879,42.8
Meal 1146,"Rogan Josh,Boiled Rice,Paratha(2),Yogurt,",168,31.45,923,46.2
Meal 1147,"Rogan Josh,Boiled Rice,Wheat chapatti(3),Yogurt,",89,20.45,881,35.4
Meal 1148,"Rogan Josh,Boiled Rice,Brown bread(3),Yogurt,",212,50.45,983,47.1
Meal 1149,"Rogan Josh,Boiled Rice,Paratha(3),Yogurt,",230,41.45,1049,52.2
Meal 1150,"Rogan Josh,Boiled Rice,Yogurt,",44,11.45,671,34.2
Meal 1151,"Rogan Josh,Boiled Rice,Wheat chapatti(1),Buttermilk,",56.5,12.15,696,31.7
Meal 1152,"Rogan Josh,Boiled Rice,Brown bread(1),Buttermilk,",97.5,22.15,730,35.6
Meal 1153,"Rogan Josh,Boiled Rice,Paratha(1),Buttermilk,",103.5,19.15,752,37.3
